time_us,q0,q1,q2,q3,wx,wy,wz,motor1,motor2,motor3,motor4
240945250,-0.6631896379297613,-0.03446187348466936,0.01889559414822287,0.7474187848457547,0.10444369912147522,0.03010445646941662,0.022250620648264885,1640.0,1639.0,1640.0,1640.0
241045210,-0.6631146276654833,-0.03580453223685192,0.018517530884892174,0.7474316872445902,-0.011379160918295383,-0.011522048152983189,0.02498256228864193,1639.0,1640.0,1640.0,1640.0
241145170,-0.6629147946693612,-0.039361402758159116,0.018483320582963442,0.7474309478751975,0.05207508057355881,0.11794978380203247,0.026088880375027657,1640.0,1640.0,1640.0,1640.0
241245130,-0.6626290151678099,-0.04392248780986498,0.01764752436309383,0.7474504453180725,0.13555803894996643,0.17995689809322357,0.01448324229568243,1640.0,1639.0,1639.0,1640.0
241345090,-0.6624798931846454,-0.04600581795451483,0.017901188390265853,0.7474512715184939,0.07504473626613617,0.07155314087867737,0.017803233116865158,1640.0,1640.0,1640.0,1639.0
241445050,-0.6624223203122565,-0.046772102389051634,0.016778982675029797,0.7474807728166828,-0.08651291579008102,0.04309949278831482,0.019355367869138718,1639.0,1640.0,1640.0,1640.0
241545010,-0.6623559788876191,-0.047550580772102814,0.015053746644976315,0.7475271795807886,-0.05215662717819214,0.019405553117394447,0.0011985113378614187,1640.0,1640.0,1640.0,1640.0
241644970,-0.6623937928299454,-0.04674532575063638,0.014598580195319791,0.7475534891879692,-0.07867345213890076,0.04803699627518654,0.014294571243226528,1640.0,1640.0,1640.0,1640.0
241744930,-0.6624548080273639,-0.04583776512077172,0.012919892223716232,0.7475865187355166,0.04422787204384804,0.014398264698684216,0.04387209191918373,1640.0,1640.0,1640.0,1640.0
241844890,-0.6624818686693682,-0.04552971991951251,0.014711847875499992,0.7475482458145968,0.03699493035674095,-0.03713453561067581,0.0561702735722065,1640.0,1640.0,1640.0,1640.0
241944850,-0.662623733025203,-0.04326650828801876,0.01596755646608456,0.7475311597738316,-0.0523335337638855,-0.029276270419359207,0.021212205290794373,1639.0,1640.0,1640.0,1640.0
