time,z_error,vz,roll,pitch,yaw,p,q,r,u1,u2,u3,u4
0.1520000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4525,2.4525,2.4525,2.4525
0.1540000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4525,2.4525,2.4525,2.4525
0.1560000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4525,2.4525,2.4525,2.4525
0.1580000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4525,2.4525,2.4525,2.4525
0.16000000000000011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4525,2.4525,2.4525,2.4525
0.16200000000000012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4525,2.4525,2.4525,2.4525
0.16400000000000012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4525,2.4525,2.4525,2.4525
0.16600000000000012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4525,2.4525,2.4525,2.4525
0.16800000000000012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4525,2.4525,2.4525,2.4525
0.17000000000000012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4525,2.4525,2.4525,2.4525
0.17200000000000013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4525,2.4525,2.4525,2.4525
0.17400000000000013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4525,2.4525,2.4525,2.4525
0.17600000000000013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4525,2.4525,2.4525,2.4525
0.17800000000000013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4525,2.4525,2.4525,2.4525
0.18000000000000013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4525,2.4525,2.4525,2.4525
0.18200000000000013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4525,2.4525,2.4525,2.4525
0.18400000000000014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4525,2.4525,2.4525,2.4525
0.18600000000000014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4525,2.4525,2.4525,2.4525
0.18800000000000014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4525,2.4525,2.4525,2.4525
0.19000000000000014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4525,2.4525,2.4525,2.4525
0.19200000000000014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4525,2.4525,2.4525,2.4525
0.19400000000000014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4525,2.4525,2.4525,2.4525
0.19600000000000015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4525,2.4525,2.4525,2.4525
0.19800000000000015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4525,2.4525,2.4525,2.4525
0.20000000000000015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4525,2.4525,2.4525,2.4525
0.20200000000000015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4525,2.4525,2.4525,2.4525
0.20400000000000015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4525,2.4525,2.4525,2.4525
0.20600000000000016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4525,2.4525,2.4525,2.4525
0.20800000000000016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4525,2.4525,2.4525,2.4525
0.21000000000000016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4525,2.4525,2.4525,2.4525
0.21200000000000016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4525,2.4525,2.4525,2.4525
0.21400000000000016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4525,2.4525,2.4525,2.4525
0.21600000000000016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4525,2.4525,2.4525,2.4525
0.21800000000000017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4525,2.4525,2.4525,2.4525
0.22000000000000017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4525,2.4525,2.4525,2.4525
0.22200000000000017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4525,2.4525,2.4525,2.4525
0.22400000000000017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4525,2.4525,2.4525,2.4525
0.22600000000000017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4525,2.4525,2.4525,2.4525
0.22800000000000017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4525,2.4525,2.4525,2.4525
0.23000000000000018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4525,2.4525,2.4525,2.4525
0.23200000000000018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4525,2.4525,2.4525,2.4525
0.23400000000000018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4525,2.4525,2.4525,2.4525
0.23600000000000018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4525,2.4525,2.4525,2.4525
0.23800000000000018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4525,2.4525,2.4525,2.4525
0.24000000000000019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4525,2.4525,2.4525,2.4525
0.2420000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4525,2.4525,2.4525,2.4525
0.2440000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4525,2.4525,2.4525,2.4525
0.2460000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4525,2.4525,2.4525,2.4525
0.2480000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4525,2.4525,2.4525,2.4525
0.25000000000000017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4525,2.4525,2.4525,2.4525
0.25200000000000017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4525,2.4525,2.4525,2.4525
0.25400000000000017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4525,2.4525,2.4525,2.4525
